mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_c1,param_c2,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
36.06985068321228,1.4468251774428318,2.402247111002604,0.025238468940050718,0.6215473378314281,0.0673940911216159,"{'c1': 0.6215473378314281, 'c2': 0.0673940911216159}",0.7626339969372129,0.7366946778711485,0.7259036144578314,0.7417440964220642,0.015414337915226064,16
35.3093101978302,2.0904579673484753,2.5943342049916587,0.19117665467695352,0.09287250233132588,0.0031763393772107316,"{'c1': 0.09287250233132588, 'c2': 0.0031763393772107316}",0.7734138972809669,0.7569832402234636,0.7573099415204677,0.7625690263416327,0.007669641569307595,2
35.70956468582153,2.5208697093750145,2.3368398348490396,0.45964943202566405,0.031081046472108687,0.056045622041017484,"{'c1': 0.031081046472108687, 'c2': 0.056045622041017484}",0.766412213740458,0.7381974248927038,0.7234042553191489,0.7426712979841036,0.01784064231318903,15
38.15960462888082,1.6501674608392758,2.43290646870931,0.027882183688716526,0.2421206851258094,0.009203776554002974,"{'c1': 0.2421206851258094, 'c2': 0.009203776554002974}",0.7701674277016741,0.7552447552447552,0.7437774524158126,0.7563965451207474,0.010804402307575796,11
34.886417945226036,3.2828428658669067,2.3964847723642984,0.032913711501517576,0.2312888444753926,0.004613987206104278,"{'c1': 0.2312888444753926, 'c2': 0.004613987206104278}",0.7722473604826547,0.7593880389429764,0.7430249632892805,0.7582201209049706,0.011958543635952126,7
28.51960285504659,3.602238591285703,1.209925889968872,0.1038527484649011,0.03665276409245501,0.016397500663982895,"{'c1': 0.03665276409245501, 'c2': 0.016397500663982895}",0.770392749244713,0.7566807313642757,0.7470588235294118,0.7580441013794669,0.00957469253363751,8
26.426117658615112,2.3901981068342444,1.3778014183044434,0.38875964725358725,0.3481233659472882,0.0022849531083081083,"{'c1': 0.3481233659472882, 'c2': 0.0022849531083081083}",0.77526395173454,0.7613793103448276,0.7478005865102639,0.7614812828632105,0.011212103762047303,3
25.968504428863525,2.6867501921185366,2.1062002976735434,0.3178130629015899,0.35459039012416754,0.0222205420365283,"{'c1': 0.35459039012416754, 'c2': 0.0222205420365283}",0.7689969604863222,0.75,0.7369985141158989,0.7519984915340737,0.01313952355399633,12
30.37712748845418,3.9894223461339164,2.0636659463246665,0.5959624735410989,0.1350237842435613,0.008281546391747044,"{'c1': 0.1350237842435613, 'c2': 0.008281546391747044}",0.7727272727272727,0.7624309392265194,0.7463556851311953,0.7605046323616623,0.010851978366104244,5
31.994046290715534,0.7754099034098669,2.08854603767395,0.5517974017375608,0.027185575205235412,0.19718804402189163,"{'c1': 0.027185575205235412, 'c2': 0.19718804402189163}",0.7550702028081122,0.7304347826086957,0.7107692307692308,0.7320914053953462,0.018123692232183727,18
32.37395795186361,2.460058131695883,2.401384433110555,0.06197995729710952,0.18584171979182734,0.009703841966266369,"{'c1': 0.18584171979182734, 'c2': 0.009703841966266369}",0.7727272727272727,0.7528089887640449,0.7511045655375552,0.7588802756762909,0.009815999189458424,6
36.249330600102745,1.2453505830075406,2.4673681259155273,0.14018540965205029,0.15611813296592691,0.05778302715881961,"{'c1': 0.15611813296592691, 'c2': 0.05778302715881961}",0.7673716012084593,0.7396870554765292,0.7391952309985096,0.7487512958944993,0.013168075038215401,14
36.28211339314779,2.678438779143311,2.4141727288564048,0.007697254363318248,0.31836664174442986,0.027006126814500566,"{'c1': 0.31836664174442986, 'c2': 0.027006126814500566}",0.7789473684210526,0.7552447552447552,0.7481590574374081,0.7607837270344053,0.013165363133903206,4
35.84810702006022,2.639091625057383,2.4261176586151123,0.01959766842730285,0.20903161490376512,0.002855389132391634,"{'c1': 0.20903161490376512, 'c2': 0.002855389132391634}",0.782477341389728,0.768377253814147,0.7562043795620438,0.7690196582553063,0.010735506303826697,1
35.14406863848368,2.9008275952850986,2.4265503883361816,0.06279753722292335,0.30249520361986154,0.049884195867495165,"{'c1': 0.30249520361986154, 'c2': 0.049884195867495165}",0.7699248120300753,0.7437325905292478,0.7385524372230429,0.7507366132607886,0.013731926936308867,13
33.42196615537008,1.7954598746761983,2.4054384231567383,0.016163150212682987,0.07234720030774405,0.019235291450991787,"{'c1': 0.07234720030774405, 'c2': 0.019235291450991787}",0.7766116941529235,0.7570621468926554,0.7388724035608307,0.7575154148688032,0.01541033424885731,10
35.71729024251302,1.2776888904214754,2.4118762016296387,0.04079048746502134,1.3819878360202622,0.10163459287063803,"{'c1': 1.3819878360202622, 'c2': 0.10163459287063803}",0.7301587301587301,0.7084548104956269,0.6741214057507987,0.7042449821350519,0.023070001052146523,19
41.943957010904946,3.3702880305248595,2.5190086364746094,0.07502869509568233,0.40902704339101026,0.0052101560211272125,"{'c1': 0.40902704339101026, 'c2': 0.0052101560211272125}",0.7701674277016741,0.7465181058495821,0.7569141193595342,0.7578665509702636,0.009678255713911689,9
37.65081445376078,2.343244978687228,2.562467654546102,0.05539389290588527,0.7864453316534735,0.04475384324377954,"{'c1': 0.7864453316534735, 'c2': 0.04475384324377954}",0.7542503863987635,0.7362482369534556,0.7319277108433734,0.7408087780651975,0.009666932033543317,17
40.12292591730753,2.8253316142331855,2.475341796875,0.02952142920873917,2.939002216708277,0.10090486538087931,"{'c1': 2.939002216708277, 'c2': 0.10090486538087931}",0.6700336700336701,0.6384976525821596,0.6336633663366337,0.6473982296508212,0.016126891658966244,20
